covariate_index,wamd_after
Xi31,0.0
Xi32,0.0
Xi33,0.0
Xi34,0.0
Xi35,0.0
Xi36,0.0
Xi37,0.0
Xi38,0.033244286969994465
Xi39,0.03201785946805214
Xi40,0.0
Xi41,0.004453599761613056
Xi42,0.0
Xi43,0.0
Xi44,0.0
Xi45,0.0
Xi46,0.0
Xi47,0.0
Xi48,0.018331821617178418
Xi49,0.0
Xi50,0.0
Xs1,0.0
Xs2,0.0
Xs3,0.00045464199187967934
Xs4,0.0
Xs5,0.0
Xs6,0.0
Xs7,0.0
Xs8,0.0
Xs9,0.0
Xs10,0.0
Xs11,0.0
Xs12,0.0
Xs13,0.0
Xs14,0.0
Xs15,0.0
Xs16,0.0
Xs17,0.0
Xs18,0.0
Xs19,0.018320307494514698
Xs20,0.0
Xs21,0.0
Xs22,0.0
Xs23,0.0
Xs24,0.010773189063257634
Xs25,0.0
Xs26,0.0
Xs27,0.000454985679371197
Xs28,0.0
Xs29,0.0
Xs30,8.662817785683329e-05
Xs31,0.0
Xs32,0.0
Xs33,0.0
Xs34,0.0
Xs35,0.0
Xs36,0.0
Xs37,0.0
Xs38,0.02227641779762606
Xs39,0.0
Xs40,0.0
Xs41,0.0
Xs42,0.0
Xs43,0.0
Xs44,0.0
Xs45,0.0
Xs46,0.0
Xs47,0.0
Xs48,0.009860088179699404
Xs49,0.0
Xs50,0.0
Xs51,0.0
Xs52,0.0
Xs53,0.004773852032366882
Xs54,0.0
Xs55,0.0
Xs56,0.0
Xs57,0.0
Xs58,0.0
Xs59,0.0
Xs60,0.0
Xs61,0.0
Xs62,0.0
Xs63,0.0
Xs64,0.0
Xs65,0.06113227395331535
Xs66,0.019591954925572197
Xs67,0.0
Xs68,0.026217997125970508
Xs69,8.82963144920635e-05
Xs70,0.0
Xs71,0.0
Xs72,0.005209754173041542
Xs73,0.0
Xs74,0.0
Xs75,0.0
Xs76,0.006501971943003693
Xs77,0.0
Xs78,0.0
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.0
Xs83,0.0
Xs84,0.008734962972839357
Xs85,0.013306856207968645
Xs86,0.02276418433013335
Xs87,0.0
Xs88,0.0
Xs89,0.0
Xs90,0.0
Xs91,0.0
Xs92,0.0
Xs93,0.0
Xs94,0.0
Xs95,0.0
Xs96,0.015373552333711975
Xs97,0.0
Xs98,0.007495815146971475
Xs99,0.0
Xs100,0.0
Xs101,0.0
Xs102,0.0
Xs103,0.0
Xs104,0.0
Xs105,0.0
Xs106,0.0
Xs107,0.0
Xs108,0.0
Xs109,0.0
Xs110,0.0
Xs111,0.00046199048845820125
Xs112,0.0032325543031491745
Xs113,0.0
Xs114,0.0
Xs115,0.0
Xs116,0.0
Xs117,0.0
Xs118,0.010725113712895043
Xs119,0.0
Xs120,0.0
Xs121,0.0
Xs122,0.0
Xs123,0.000988858463561363
Xs124,0.0
Xs125,0.0003451924173865575
Xs126,0.0
Xs127,0.0
Xs128,0.0
Xs129,0.0
Xs130,0.0
Xs131,0.0
Xs132,0.0
Xs133,0.0
Xs134,0.03174440272742014
Xs135,0.0
Xs136,0.011663108937037193
Xs137,0.0
Xs138,0.0
Xs139,0.0
Xs140,0.0
Xs141,0.0
Xs142,0.0
Xs143,0.0
Xs144,0.0
Xs145,0.0
Xs146,0.0
Xs147,0.0
Xs148,0.0
Xs149,0.0
Xs150,0.0
Xs151,0.0
Xs152,0.0
Xs153,0.0
Xs154,0.0
Xs155,0.0
Xs156,0.0
Xs157,0.0
Xs158,0.0
Xs159,0.0
Xs160,0.0
Xs161,0.0
Xs162,0.0
Xs163,0.0
Xs164,0.0
Xs165,0.0
Xs166,0.015008127078471043
Xs167,0.0
Xs168,0.0
Xs169,0.0
Xs170,0.0
Xs171,0.0
Xs172,0.0009610608311667831
Xs173,0.0009321276625957688
Xs174,0.0
Xs175,0.0
Xs176,0.0
Xs177,0.0
Xs178,0.0
Xs179,0.0
Xs180,0.0
Xs181,0.013303057141271796
Xs182,0.00022427355795959152
Xs183,0.0005645059893944744
Xs184,0.01158670239401261
Xs185,0.0
Xs186,0.0
Xs187,0.0
Xs188,0.0017513052507369066
Xs189,0.0
Xs190,0.0
Xs191,0.0
Xs192,0.0
Xs193,0.0
Xs194,0.0
Xs195,0.0
Xs196,0.0
Xs197,0.0
Xs198,0.000940010637526819
Xs199,0.0
Xs200,0.0
Xs201,0.0
Xs202,0.0
Xs203,0.0
Xs204,0.0
Xs205,0.0
Xs206,0.0
Xs207,0.0
Xs208,0.0
Xs209,0.0
Xs210,0.0
Xs211,0.0010061050867276032
Xs212,0.0
Xs213,0.0
Xs214,0.0
Xs215,0.0
Xs216,0.0
Xs217,0.008526437145298448
Xs218,0.0
Xs219,0.0
Xs220,0.0
Xs221,0.0
Xs222,0.0
Xs223,0.0
Xs224,0.012938818519017497
Xs225,0.0
Xs226,0.011098290202999071
Xs227,0.0
Xs228,0.0
Xs229,0.0
Xs230,0.007852271745394412
Xs231,0.0
Xs232,0.0
Xs233,0.0
Xs234,0.0
Xs235,0.002605169694687619
Xs236,0.0
Xs237,0.0
Xs238,0.004859796163543412
Xs239,0.0
Xs240,0.0
Xs241,0.02144027780585916
Xs242,0.0
Xs243,0.0
Xs244,0.0
Xs245,0.0
Xs246,0.0
Xs247,0.0
Xs248,0.0
Xs249,0.0
Xs250,0.0
Xs251,0.024905037370182185
Xs252,0.0
Xs253,0.0
Xs254,0.0
Xs255,0.0
Xs256,0.0
Xs257,0.0
Xs258,0.0
Xs259,0.01703564295317896
Xs260,0.0
Xs261,0.02301492815156177
Xs262,0.0
Xs263,0.0
Xs264,0.0
Xs265,0.0
Xs266,0.0
Xs267,0.0
Xs268,0.0
Xs269,0.0006958658282967981
Xs270,0.0
Xs271,0.015114480146390006
Xs272,0.0
Xs273,0.0
Xs274,0.0
Xs275,0.0
Xs276,0.0
Xs277,0.0
Xs278,0.0
Xs279,0.0
Xs280,0.0
Xs281,0.0
Xs282,0.0
Xs283,0.0
Xs284,0.004885013518569872
Xs285,0.0
Xs286,0.0
Xs287,0.0
Xs288,0.0
Xs289,0.0
Xs290,0.00034515298293884007
Xs291,0.0
Xs292,0.0
Xs293,0.0
Xs294,0.0
Xs295,0.0
Xs296,0.0
Xs297,0.0
Xs298,0.0
Xs299,0.0
Xs300,0.0
Xs301,0.0
Xs302,0.023922144731227373
Xs303,0.0
Xs304,0.0
Xs305,0.0
Xs306,0.0036119300874772413
Xs307,0.0
Xs308,0.0
Xs309,0.0
Xs310,0.0
Xs311,0.0
Xs312,0.0
Xs313,0.0
Xs314,0.002206012838503024
Xs315,0.0
Xs316,0.0
Xs317,0.0
Xs318,0.02540262746098791
Xs319,0.0
Xs320,0.009857445381404113
Xs321,0.0
Xs322,0.0
Xs323,0.0
Xs324,0.0
Xs325,0.003046558544302053
Xs326,0.0
Xs327,0.0
Xs328,0.0
Xs329,0.0
Xs330,0.0
Xs331,0.0
Xs332,0.002016269566567575
Xs333,0.0
Xs334,0.0
Xs335,0.0
Xs336,0.0
Xs337,0.0
Xs338,0.0
Xs339,0.006817557107943975
Xs340,0.0
Xs341,0.0
Xs342,0.0
Xs343,0.004254333603371106
Xs344,0.0
Xs345,0.0
Xs346,0.0
Xs347,0.0
Xs348,0.03528901572286814
Xs349,4.51873695549887e-05
Xs350,0.0
